epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/accuracy,val/f1,val/loss,val/precision,val/recall
0,,5199,,0.34577488899230957,,,,,
,1.200012945816193e-05,5299,,,,,,,
0,,5299,,0.25232040882110596,,,,,
,1.200013439040101e-05,5399,,,,,,,
0,,5399,,0.2749435007572174,,,,,
,1.2000139414848718e-05,5499,,,,,,,
0,,5499,,0.2484056055545807,,,,,
,1.2000144531505003e-05,5599,,,,,,,
0,,5599,,0.24119699001312256,,,,,
,1.2000149740369755e-05,5699,,,,,,,
0,,5699,,0.3332972526550293,,,,,
,1.2000155041443138e-05,5799,,,,,,,
0,,5799,,0.3271760940551758,,,,,
,1.2000160434725042e-05,5899,,,,,,,
0,,5899,,0.2818642556667328,,,,,
,1.2000165920215467e-05,5999,,,,,,,
0,,5999,,0.22430823743343353,,,,,
,1.2000171497914469e-05,6099,,,,,,,
0,,6099,,0.2539638578891754,,,,,
,1.2000177167821992e-05,6199,,,,,,,
0,,6199,,0.24019955098628998,,,,,
,1.2000182929938037e-05,6299,,,,,,,
0,,6299,,0.24004614353179932,,,,,
,1.2000188784262657e-05,6399,,,,,,,
0,,6399,,0.2695333957672119,,,,,
,1.20001947307958e-05,6499,,,,,,,
0,,6499,,0.21052682399749756,,,,,
,1.2000200769537409e-05,6599,,,,,,,
0,,6599,,0.24784299731254578,,,,,
,1.2000206900487594e-05,6699,,,,,,,
0,,6699,,0.284024178981781,,,,,
,1.2000213123646247e-05,6799,,,,,,,
0,,6799,,0.3229944109916687,,,,,
,1.2000219439013476e-05,6899,,,,,,,
0,,6899,,0.29206013679504395,,,,,
,1.2000225846589172e-05,6999,,,,,,,
0,,6999,,0.24312666058540344,,,,,
,1.200023234637339e-05,7099,,,,,,,
0,,7099,,0.1811698079109192,,,,,
,1.2000238938366075e-05,7199,,,,,,,
0,,7199,,0.3105301260948181,,,,,
,1.2000245622567282e-05,7299,,,,,,,
0,,7299,,0.20230866968631744,,,,,
,1.200025239897701e-05,7399,,,,,,,
0,,7399,,0.21143628656864166,,,,,
,1.2000259267595207e-05,7499,,,,,,,
0,,7499,,0.21964913606643677,,,,,
,1.200026622842187e-05,7599,,,,,,,
0,,7599,,0.2824707627296448,,,,,
,1.2000273281457e-05,7699,,,,,,,
0,,7699,,0.2332170605659485,,,,,
,1.2000280426700653e-05,7799,,,,,,,
0,,7799,,0.30482974648475647,,,,,
,1.2000287664152664e-05,7899,,,,,,,
0,,7899,,0.27778032422065735,,,,,
,1.2000294993813252e-05,7999,,,,,,,
0,,7999,,0.20403942465782166,,,,,
,1.2000302415682252e-05,8099,,,,,,,
0,,8099,,0.21658331155776978,,,,,
,1.200030992975972e-05,8199,,,,,,,
0,,8199,,0.22326961159706116,,,,,
,1.2000317536045655e-05,8299,,,,,,,
0,,8299,,0.24170807003974915,,,,,
,1.2000325234540004e-05,8399,,,,,,,
0,,8399,,0.3265262246131897,,,,,
,1.200033302524282e-05,8499,,,,,,,
0,,8499,,0.2457897961139679,,,,,
,1.2000340908154103e-05,8599,,,,,,,
0,,8599,,0.2662660479545593,,,,,
,1.2000348883273691e-05,8699,,,,,,,
0,,8699,,0.1831335425376892,,,,,
,1.2000356950601855e-05,8799,,,,,,,
0,,8799,,0.2843470275402069,,,,,
,1.2000365110138324e-05,8899,,,,,,,
0,,8899,,0.3784935474395752,,,,,
,1.200037336188326e-05,8999,,,,,,,
0,,8999,,0.2169472873210907,,,,,
,1.200038170583661e-05,9099,,,,,,,
0,,9099,,0.19770938158035278,,,,,
,1.2000390141998318e-05,9199,,,,,,,
0,,9199,,0.21610555052757263,,,,,
,1.2000398670368494e-05,9299,,,,,,,
0,,9299,,0.26610124111175537,,,,,
,1.2000407290947029e-05,9399,,,,,,,
0,,9399,,0.18217775225639343,,,,,
,1.2000416003733923e-05,9499,,,,,,,
0,,9499,,0.293186753988266,,,,,
,1.2000424808729284e-05,9599,,,,,,,
0,,9599,,0.20967000722885132,,,,,
,1.200043370593295e-05,9699,,,,,,,
0,,9699,,0.12980344891548157,,,,,
,1.200044269534503e-05,9799,,,,,,,
0,,9799,,0.20240066945552826,,,,,
,1.2000451776965414e-05,9899,,,,,,,
0,,9899,,0.22444145381450653,,,,,
,1.200046095079421e-05,9999,,,,,,,
0,,9999,,0.28025567531585693,,,,,
,1.2000470216831367e-05,10099,,,,,,,
0,,10099,,0.2345704585313797,,,,,
,1.2000479575076828e-05,10199,,,,,,,
0,,10199,,0.2380003035068512,,,,,
,1.2000489025530648e-05,10299,,,,,,,
0,,10299,,0.28706175088882446,,,,,
,1.2000498568192827e-05,10399,,,,,,,
0,,10399,,0.28683847188949585,,,,,
,1.2000508203063311e-05,10499,,,,,,,
0,,10499,,0.3040979504585266,,,,,
,1.20005179301421e-05,10599,,,,,,,
0,,10599,,0.20748968422412872,,,,,
,1.2000527749429248e-05,10699,,,,,,,
0,,10699,,0.24757099151611328,,,,,
,1.20005376609247e-05,10799,,,,,,,
0,,10799,,0.21802014112472534,,,,,
,1.2000547664628403e-05,10899,,,,,,,
0,,10899,,0.32004106044769287,,,,,
,1.200055776054052e-05,10999,,,,,,,
0,,10999,,0.17740826308727264,,,,,
,1.2000567948660778e-05,11099,,,,,,,
0,,11099,,0.30968883633613586,,,,,
,1.200057822898945e-05,11199,,,,,,,
0,,11199,,0.24764417111873627,,,,,
,1.2000588601526318e-05,11299,,,,,,,
0,,11299,,0.26848313212394714,,,,,
,1.200059906627149e-05,11399,,,,,,,
0,,11399,,0.3249177932739258,,,,,
,1.2000609623224968e-05,11499,,,,,,,
0,,11499,,0.2687283158302307,,,,,
,1.2000620272386642e-05,11599,,,,,,,
0,,11599,,0.2241756021976471,,,,,
,1.2000631013756621e-05,11699,,,,,,,
0,,11699,,0.2819679081439972,,,,,
,1.2000641847334796e-05,11799,,,,,,,
0,,11799,,0.28043079376220703,,,,,
,1.2000652773121222e-05,11899,,,,,,,
0,,11899,,0.2719879746437073,,,,,
,1.2000663791115844e-05,11999,,,,,,,
0,,11999,,0.13759544491767883,,,,,
,1.2000674901318717e-05,12099,,,,,,,
0,,12099,,0.26433342695236206,,,,,
,1.200068610372984e-05,12199,,,,,,,
0,,12199,,0.2294560968875885,,,,,
,1.200069739834916e-05,12299,,,,,,,
0,,12299,,0.19713342189788818,,,,,
,1.2000708785176676e-05,12399,,,,,,,
0,,12399,,0.25683659315109253,,,,,
,1.2000720264212388e-05,12499,,,,,,,
0,,12499,,0.17268317937850952,,,,,
,1.2000731835456243e-05,12599,,,,,,,
0,,12599,,0.3535454273223877,,,,,
,1.2000743498908348e-05,12699,,,,,,,
0,,12699,,0.3280448317527771,,,,,
,1.2000755254568595e-05,12799,,,,,,,
0,,12799,,0.23076066374778748,,,,,
,1.200076710243704e-05,12899,,,,,,,
0,,12899,,0.23442329466342926,,,,,
,1.200077904251357e-05,12999,,,,,,,
0,,12999,,0.24865815043449402,,,,,
,1.2000791074798299e-05,13099,,,,,,,
0,,13099,,0.24845440685749054,,,,,
,1.2000803199291169e-05,13199,,,,,,,
0,,13199,,0.25695323944091797,,,,,
,1.2000815415992181e-05,13299,,,,,,,
0,,13299,,0.27149680256843567,,,,,
,1.2000827724901282e-05,13399,,,,,,,
0,,13399,,0.21168622374534607,,,,,
,1.2000840126018524e-05,13499,,,,,,,
0,,13499,,0.18592533469200134,,,,,
,1.2000852619343855e-05,13599,,,,,,,
0,,13599,,0.18483033776283264,,,,,
,1.2000865204877327e-05,13699,,,,,,,
0,,13699,,0.19667041301727295,,,,,
,1.2000877882618888e-05,13799,,,,,,,
0,,13799,,0.20799709856510162,,,,,
,1.2000890652568536e-05,13899,,,,,,,
0,,13899,,0.290455162525177,,,,,
,1.2000903514726219e-05,13999,,,,,,,
0,,13999,,0.2617425322532654,,,,,
,1.2000916469091989e-05,14099,,,,,,,
0,,14099,,0.24222217500209808,,,,,
,1.2000929515665847e-05,14199,,,,,,,
0,,14199,,0.3238539397716522,,,,,
,1.2000942654447793e-05,14299,,,,,,,
0,,14299,,0.2000005841255188,,,,,
,1.2000955885437719e-05,14399,,,,,,,
0,,14399,,0.1556040644645691,,,,,
,1.2000969208635678e-05,14499,,,,,,,
0,,14499,,0.24687710404396057,,,,,
,1.2000982624041725e-05,14599,,,,,,,
0,,14599,,0.2206210494041443,,,,,
,1.2000996131655752e-05,14699,,,,,,,
0,,14699,,0.25942713022232056,,,,,
,1.2001009731477759e-05,14799,,,,,,,
0,,14799,,0.21447692811489105,,,,,
,1.2001023423507799e-05,14899,,,,,,,
0,,14899,,0.20926006138324738,,,,,
,1.2001037207745873e-05,14999,,,,,,,
0,,14999,,0.3731880187988281,,,,,
,1.2001051084191872e-05,15099,,,,,,,
0,,15099,,0.2307576835155487,,,,,
,1.200106505284585e-05,15199,,,,,,,
0,,15199,,0.3114103376865387,,,,,
,1.2001079113707863e-05,15299,,,,,,,
0,,15299,,0.2122420370578766,,,,,
,1.20010932667778e-05,15399,,,,,,,
0,,15399,,0.18993863463401794,,,,,
,1.2001107512055664e-05,15499,,,,,,,
0,,15499,,0.21829278767108917,,,,,
,1.2001121849541452e-05,15599,,,,,,,
0,,15599,,0.254189133644104,,,,,
,1.200113627923522e-05,15699,,,,,,,
0,,15699,,0.18599963188171387,,,,,
,1.200115080113686e-05,15799,,,,,,,
0,,15799,,0.25828662514686584,,,,,
,1.2001165415246424e-05,15899,,,,,,,
0,,15899,,0.14049065113067627,,,,,
,1.2001180121563914e-05,15999,,,,,,,
0,,15999,,0.31421008706092834,,,,,
,1.2001194920089274e-05,16099,,,,,,,
0,,16099,,0.2302229404449463,,,,,
,1.200120981082256e-05,16199,,,,,,,
0,,16199,,0.26651114225387573,,,,,
,1.2001224793763664e-05,16299,,,,,,,
0,,16299,,0.2049705982208252,,,,,
,1.2001239868912638e-05,16399,,,,,,,
0,,16399,,0.13109184801578522,,,,,
,1.2001255036269537e-05,16499,,,,,,,
0,,16499,,0.21908508241176605,,,,,
,1.20012702958342e-05,16599,,,,,,,
0,,16599,,0.2647493779659271,,,,,
,1.2001285647606787e-05,16699,,,,,,,
0,,16699,,0.2563096880912781,,,,,
,1.2001301091587083e-05,16799,,,,,,,
0,,16799,,0.2788503170013428,,,,,
,1.200131662777525e-05,16899,,,,,,,
0,,16899,,0.24299785494804382,,,,,
,1.2001332256171234e-05,16999,,,,,,,
0,,16999,,0.14531025290489197,,,,,
,1.2001347976775035e-05,17099,,,,,,,
0,,17099,,0.26111650466918945,,,,,
,1.2001363789586545e-05,17199,,,,,,,
0,,17199,,0.3479668200016022,,,,,
,1.2001379694605925e-05,17299,,,,,,,
0,,17299,,0.19197005033493042,,,,,
,1.2001395691833014e-05,17399,,,,,,,
0,,17399,,0.24504804611206055,,,,,
,1.2001411781267866e-05,17499,,,,,,,
0,,17499,,0.1888667792081833,,,,,
,1.2001427962910426e-05,17599,,,,,,,
0,,17599,,0.26067662239074707,,,,,
,1.2001444236760803e-05,17699,,,,,,,
0,,17699,,0.3112282156944275,,,,,
,1.2001460602818835e-05,17799,,,,,,,
0,,17799,,0.2071346640586853,,,,,
,1.2001477061084574e-05,17899,,,,,,,
0,,17899,,0.2473340481519699,,,,,
,1.2001493611558077e-05,17999,,,,,,,
0,,17999,,0.23213043808937073,,,,,
,1.2001510254239234e-05,18099,,,,,,,
0,,18099,,0.24876224994659424,,,,,
,1.2001526989128099e-05,18199,,,,,,,
0,,18199,,0.27429139614105225,,,,,
,1.2001543816224619e-05,18299,,,,,,,
0,,18299,,0.2094952017068863,,,,,
,1.2001560735528792e-05,18399,,,,,,,
0,,18399,,0.2479337751865387,,,,,
,1.200157774704062e-05,18499,,,,,,,
0,,18499,,0.29411986470222473,,,,,
,1.2001594850760103e-05,18599,,,,,,,
0,,18599,,0.27583229541778564,,,,,
,1.2001612046687185e-05,18699,,,,,,,
0,,18699,,0.23392559587955475,,,,,
,1.2001629334821922e-05,18799,,,,,,,
0,,18799,,0.23975732922554016,,,,,
,1.2001646715164205e-05,18899,,,,,,,
0,,18899,,0.34260016679763794,,,,,
,1.2001664187714142e-05,18999,,,,,,,
0,,18999,,0.2704010605812073,,,,,
,1.2001681752471624e-05,19099,,,,,,,
0,,19099,,0.23669809103012085,,,,,
,1.2001699409436707e-05,19199,,,,,,,
0,,19199,,0.2103634774684906,,,,,
,1.2001717158609336e-05,19299,,,,,,,
0,,19299,,0.28921058773994446,,,,,
,1.200173499998951e-05,19399,,,,,,,
0,,19399,,0.3170523941516876,,,,,
,1.2001752933577176e-05,19499,,,,,,,
0,,19499,,0.18215002119541168,,,,,
,1.2001770959372442e-05,19599,,,,,,,
0,,19599,,0.24986472725868225,,,,,
,1.20017890773752e-05,19699,,,,,,,
0,,19699,,0.2963447868824005,,,,,
,1.200180728758545e-05,19799,,,,,,,
0,,19799,,0.17391236126422882,,,,,
,1.2001825590003245e-05,19899,,,,,,,
0,,19899,,0.24314476549625397,,,,,
,1.2001843984628423e-05,19999,,,,,,,
0,,19999,,0.22453385591506958,,,,,
,1.2001862471461094e-05,20099,,,,,,,
0,,20099,,0.27050721645355225,,,,,
,1.200188105050131e-05,20199,,,,,,,
0,,20199,,0.24799013137817383,,,,,
,1.2001899721748909e-05,20299,,,,,,,
0,,20299,,0.20123198628425598,,,,,
,1.2001918485203945e-05,20399,,,,,,,
0,,20399,,0.20121774077415466,,,,,
,1.2001937340866365e-05,20499,,,,,,,
0,,20499,,0.22247757017612457,,,,,
,1.2001956288736223e-05,20599,,,,,,,
0,,20599,,0.21369849145412445,,,,,
,1.2001975328813517e-05,20699,,,,,,,
0,,20699,,0.18127548694610596,,,,,
,1.2001994461098141e-05,20799,,,,,,,
0,,20799,,0.25360584259033203,,,,,
,1.2002013685590148e-05,20899,,,,,,,
0,,20899,,0.19728359580039978,,,,,
,1.2002033002289484e-05,20999,,,,,,,
0,,20999,,0.2457467019557953,,,,,
,1.2002052411196203e-05,21099,,,,,,,
0,,21099,,0.29864954948425293,,,,,
,1.2002071912310306e-05,21199,,,,,,,
0,,21199,,0.21421679854393005,,,,,
,1.2002091505631629e-05,21299,,,,,,,
0,,21299,,0.2751918435096741,,,,,
,1.2002111191160335e-05,21399,,,,,,,
0,,21399,,0.28094103932380676,,,,,
,1.2002130968896316e-05,21499,,,,,,,
0,,21499,,0.26539865136146545,,,,,
,1.2002150838839572e-05,21599,,,,,,,
0,,21599,,0.22770223021507263,,,,,
,1.2002170800990103e-05,21699,,,,,,,
0,,21699,,0.2816959619522095,,,,,
,1.2002190855347908e-05,21799,,,,,,,
0,,21799,,0.2992743253707886,,,,,
,1.2002211001912934e-05,21899,,,,,,,
0,,21899,,0.20955906808376312,,,,,
,1.2002231240685235e-05,21999,,,,,,,
0,,21999,,0.21827678382396698,,,,,
,1.2002251571664702e-05,22099,,,,,,,
0,,22099,,0.21962429583072662,,,,,
,1.200227199485139e-05,22199,,,,,,,
0,,22199,,0.2451312243938446,,,,,
,1.2002292510245299e-05,22299,,,,,,,
0,,22299,,0.21522247791290283,,,,,
,1.2002313117846428e-05,22399,,,,,,,
0,,22399,,0.23468083143234253,,,,,
,1.2002333817654615e-05,22499,,,,,,,
0,,22499,,0.22162742912769318,,,,,
,1.2002354609670022e-05,22599,,,,,,,
0,,22599,,0.3051152527332306,,,,,
,1.2002375493892542e-05,22699,,,,,,,
0,,22699,,0.2056322991847992,,,,,
,1.2002396470322228e-05,22799,,,,,,,
0,,22799,,0.19805669784545898,,,,,
,1.2002417538958972e-05,22899,,,,,,,
0,,22899,,0.2401951551437378,,,,,
,1.2002438699802883e-05,22999,,,,,,,
0,,22999,,0.18388798832893372,,,,,
,1.2002459952853851e-05,23099,,,,,,,
0,,23099,,0.2587912380695343,,,,,
,1.2002481298111877e-05,23199,,,,,,,
0,,23199,,0.21749655902385712,,,,,
,1.2002502735577016e-05,23299,,,,,,,
0,,23299,,0.21404902637004852,,,,,
,1.2002524265249158e-05,23399,,,,,,,
0,,23399,,0.3092259168624878,,,,,
,1.2002545887128359e-05,23499,,,,,,,
0,,23499,,0.1833610236644745,,,,,
,1.2002567601214563e-05,23599,,,,,,,
0,,23599,,0.2106553316116333,,,,,
,1.200258940750777e-05,23699,,,,,,,
0,,23699,,0.2028798609972,,,,,
,1.2002611306007928e-05,23799,,,,,,,
0,,23799,,0.1974499672651291,,,,,
,1.2002633296715089e-05,23899,,,,,,,
0,,23899,,0.2027285397052765,,,,,
,1.20026553796292e-05,23999,,,,,,,
0,,23999,,0.19826941192150116,,,,,
,1.2002677554750314e-05,24099,,,,,,,
0,,24099,,0.16042494773864746,,,,,
,1.2002699822078323e-05,24199,,,,,,,
0,,24199,,0.2803252935409546,,,,,
,1.2002722181613283e-05,24299,,,,,,,
0,,24299,,0.26289117336273193,,,,,
,1.2002744633355083e-05,24399,,,,,,,
0,,24399,,0.306760311126709,,,,,
,1.2002767177303887e-05,24499,,,,,,,
0,,24499,,0.25602465867996216,,,,,
,1.2002789813459478e-05,24599,,,,,,,
0,,24599,,0.19815275073051453,,,,,
,1.200281254182191e-05,24699,,,,,,,
0,,24699,,0.24922001361846924,,,,,
,1.2002835362391238e-05,24799,,,,,,,
0,,24799,,0.2612423896789551,,,,,
,1.2002858275167406e-05,24899,,,,,,,
0,,24899,,0.2212144136428833,,,,,
,1.2002881280150416e-05,24999,,,,,,,
0,,24999,,0.28945139050483704,,,,,
,1.2002904377340212e-05,25099,,,,,,,
0,,25099,,0.27147331833839417,,,,,
